datetime,CellID,countrycode,smsin,smsout,callin,callout,internet,hour,dayofweek,is_weekend,month,is_night,log1p_smsin,log1p_smsout,log1p_callin,log1p_callout,log1p_internet
2013-01-11 00:00:00,1,0,0.3521,0.0,0.0,0.0273,0.0,0,4,0,1,1,0.3016589393825752,0.0,0.0,0.026934001240080944,0.0
2013-01-11 00:00:00,1,33,0.0,0.0,0.0,0.0,0.0261,0,4,0,1,1,0.0,0.0,0.0,0.0,0.025765207886026414
2013-01-11 00:00:00,1,39,1.7322,1.1047,0.5919,0.402,57.7729,0,4,0,1,1,1.0051071454712497,0.7441729391629891,0.46492827137895315,0.3378997886123984,4.073680864311002
2013-01-11 00:00:00,2,0,0.3581,0.0,0.0,0.0273,0.0,0,4,0,1,1,0.3060866641278855,0.0,0.0,0.026934001240080944,0.0
2013-01-11 00:00:00,2,33,0.0,0.0,0.0,0.0,0.0274,0,4,0,1,1,0.0,0.0,0.0,0.0,0.02703133905103043
2013-01-11 00:00:00,2,39,1.7334,1.088,0.602,0.4109,57.8875,0,4,0,1,1,1.005546255548563,0.7362066700203923,0.47125284864616745,0.3442277986369749,4.075628844026159
2013-01-11 00:00:00,3,0,0.3644,0.0,0.0,0.0273,0.0,0,4,0,1,1,0.3107147715623536,0.0,0.0,0.026934001240080944,0.0
2013-01-11 00:00:00,3,33,0.0,0.0,0.0,0.0,0.0287,0,4,0,1,1,0.0,0.0,0.0,0.0,0.028295869154847303
2013-01-11 00:00:00,4,0,0.3349,0.0,0.0,0.0273,0.0,0,4,0,1,1,0.2888563826795496,0.0,0.0,0.026934001240080944,0.0
2013-01-11 00:00:00,4,33,0.0,0.0,0.0,0.0,0.0226,0,4,0,1,1,0.0,0.0,0.0,0.0,0.022348403663761812
2013-01-11 00:00:00,4,39,1.7284,1.1533,0.5627,0.3763,57.4408,0,4,0,1,1,1.0037153567984272,0.7670015491304253,0.44641509443711846,0.3193987390033498,4.068014276042738
2013-01-11 00:00:00,5,0,0.3178,0.0,0.0,0.0237,0.0,0,4,0,1,1,0.2759636794975825,0.0,0.0,0.023423514943588054,0.0
2013-01-11 00:00:00,5,33,0.0,0.0,0.0,0.0,0.0217,0,4,0,1,1,0.0,0.0,0.0,0.0,0.021467906615240923
2013-01-11 00:00:00,5,39,1.553,1.0439,0.511,0.3503,52.1497,0,4,0,1,1,0.9372691382593468,0.7148597474655951,0.41277168329060254,0.3003267899848596,3.9731124603693933
2013-01-11 00:00:00,6,0,0.3644,0.0,0.0,0.0273,0.0,0,4,0,1,1,0.3107147715623536,0.0,0.0,0.026934001240080944,0.0
2013-01-11 00:00:00,6,33,0.0,0.0,0.0,0.0,0.0287,0,4,0,1,1,0.0,0.0,0.0,0.0,0.028295869154847303
2013-01-11 00:00:00,6,39,1.7348,1.0701,0.6128,0.4203,58.0095,0,4,0,1,1,1.0060583070575018,0.7275969152891709,0.4779717988949124,0.35086811690494535,4.0776984478930345
2013-01-11 00:00:00,7,0,0.3644,0.0,0.0,0.0273,0.0,0,4,0,1,1,0.3107147715623536,0.0,0.0,0.026934001240080944,0.0
2013-01-11 00:00:00,7,33,0.0,0.0,0.0,0.0,0.0287,0,4,0,1,1,0.0,0.0,0.0,0.0,0.028295869154847303
2013-01-11 00:00:00,7,39,1.7348,1.0701,0.6128,0.4203,58.0095,0,4,0,1,1,1.0060583070575018,0.7275969152891709,0.4779717988949124,0.35086811690494535,4.0776984478930345
2013-01-11 00:00:00,8,0,0.3644,0.0,0.0,0.0273,0.0,0,4,0,1,1,0.3107147715623536,0.0,0.0,0.026934001240080944,0.0
2013-01-11 00:00:00,8,33,0.0,0.0,0.0,0.0,0.0287,0,4,0,1,1,0.0,0.0,0.0,0.0,0.028295869154847303
2013-01-11 00:00:00,8,39,1.7348,1.0701,0.6128,0.4203,58.0095,0,4,0,1,1,1.0060583070575018,0.7275969152891709,0.4779717988949124,0.35086811690494535,4.0776984478930345
2013-01-11 00:00:00,9,0,0.3644,0.0,0.0,0.0273,0.0,0,4,0,1,1,0.3107147715623536,0.0,0.0,0.026934001240080944,0.0
