datetime,CellID,countrycode,smsin,smsout,callin,callout,internet
2013-11-01 00:00:00,1,0,0.3521,0.0,0.0,0.0273,0.0
2013-11-01 00:00:00,1,33,0.0,0.0,0.0,0.0,0.0261
2013-11-01 00:00:00,1,39,1.7322,1.1047,0.5919,0.402,57.7729
2013-11-01 00:00:00,2,0,0.3581,0.0,0.0,0.0273,0.0
2013-11-01 00:00:00,2,33,0.0,0.0,0.0,0.0,0.0274
2013-11-01 00:00:00,2,39,1.7334,1.088,0.602,0.4109,57.8875
2013-11-01 00:00:00,3,0,0.3644,0.0,0.0,0.0273,0.0
2013-11-01 00:00:00,3,33,0.0,0.0,0.0,0.0,0.0287
2013-11-01 00:00:00,4,0,0.3349,0.0,0.0,0.0273,0.0
2013-11-01 00:00:00,4,33,0.0,0.0,0.0,0.0,0.0226
2013-11-01 00:00:00,4,39,1.7284,1.1533,0.5627,0.3763,57.4408
2013-11-01 00:00:00,5,0,0.3178,0.0,0.0,0.0237,0.0
2013-11-01 00:00:00,5,33,0.0,0.0,0.0,0.0,0.0217
2013-11-01 00:00:00,5,39,1.553,1.0439,0.511,0.3503,52.1497
2013-11-01 00:00:00,6,0,0.3644,0.0,0.0,0.0273,0.0
2013-11-01 00:00:00,6,33,0.0,0.0,0.0,0.0,0.0287
2013-11-01 00:00:00,6,39,1.7348,1.0701,0.6128,0.4203,58.0095
2013-11-01 00:00:00,7,0,0.3644,0.0,0.0,0.0273,0.0
2013-11-01 00:00:00,7,33,0.0,0.0,0.0,0.0,0.0287
2013-11-01 00:00:00,7,39,1.7348,1.0701,0.6128,0.4203,58.0095
2013-11-01 00:00:00,8,0,0.3644,0.0,0.0,0.0273,0.0
2013-11-01 00:00:00,8,33,0.0,0.0,0.0,0.0,0.0287
2013-11-01 00:00:00,8,39,1.7348,1.0701,0.6128,0.4203,58.0095
2013-11-01 00:00:00,9,0,0.3644,0.0,0.0,0.0273,0.0
2013-11-01 00:00:00,9,33,0.0,0.0,0.0,0.0,0.0287
2013-11-01 00:00:00,9,39,1.7348,1.0701,0.6128,0.4203,58.0095
2013-11-01 00:00:00,10,0,0.304,0.0,0.0,0.0102,0.0
2013-11-01 00:00:00,10,33,0.0,0.0,0.0,0.0,0.0287
2013-11-01 00:00:00,10,39,0.9149,0.499,0.4043,0.3287,33.5432
2013-11-01 00:00:00,11,0,0.1943,0.0,0.0,0.0,0.0
2013-11-01 00:00:00,11,33,0.0,0.0,0.0,0.0,0.0181
2013-11-01 00:00:00,11,39,0.3949,0.2006,0.2224,0.1991,18.0073
2013-11-01 00:00:00,11,64,0.0,0.0,0.0092,0.0,0.0
2013-11-01 00:00:00,12,0,0.0723,0.0,0.0,0.0,0.0
2013-11-01 00:00:00,12,39,0.5785,0.4708,0.1684,0.1852,15.7121
2013-11-01 00:00:00,12,46,0.0,0.0,0.0,0.0,0.0177
2013-11-01 00:00:00,12,64,0.0,0.0,0.0191,0.0,0.0
2013-11-01 00:00:00,13,0,0.0327,0.0,0.0,0.0,0.0
2013-11-01 00:00:00,13,32,0.0006,0.0,0.0,0.0,0.0
2013-11-01 00:00:00,13,39,0.2454,0.2079,0.0887,0.054,9.4991
2013-11-01 00:00:00,13,46,0.0,0.0,0.0,0.0,0.0028
2013-11-01 00:00:00,13,64,0.0,0.0,0.0171,0.0,0.0
2013-11-01 00:00:00,14,0,0.0715,0.0,0.0,0.0,0.0
2013-11-01 00:00:00,14,39,0.3164,0.2418,0.1149,0.0751,15.3484
2013-11-01 00:00:00,14,46,0.0,0.0,0.0,0.0,0.0061
2013-11-01 00:00:00,14,64,0.0,0.0,0.0212,0.0,0.0
2013-11-01 00:00:00,15,0,0.0676,0.0,0.0,0.0,0.0
2013-11-01 00:00:00,15,39,0.3384,0.2708,0.1229,0.0701,16.288
2013-11-01 00:00:00,15,64,0.0,0.0,0.0251,0.0,0.0
2013-11-01 00:00:00,16,0,0.0488,0.0,0.0,0.0288,0.0
2013-11-01 00:00:00,16,39,0.4531,0.37,0.0949,0.119,18.2183
2013-11-01 00:00:00,16,46,0.0,0.0,0.0,0.0,0.0116
2013-11-01 00:00:00,16,64,0.0,0.0,0.0119,0.0,0.0
2013-11-01 00:00:00,17,0,0.0221,0.0,0.0,0.0602,0.0
2013-11-01 00:00:00,17,39,0.5568,0.4586,0.0664,0.1792,20.1801
2013-11-01 00:00:00,17,46,0.0,0.0,0.0,0.0,0.0221
2013-11-01 00:00:00,18,0,0.0221,0.0,0.0,0.0602,0.0
2013-11-01 00:00:00,18,39,0.5568,0.4586,0.0664,0.1807,20.1801
2013-11-01 00:00:00,18,46,0.0,0.0,0.0,0.0,0.0221
2013-11-01 00:00:00,19,0,0.0221,0.0,0.0,0.0602,0.0
2013-11-01 00:00:00,19,39,0.5568,0.4586,0.0678,0.1772,20.1801
2013-11-01 00:00:00,19,46,0.0,0.0,0.0,0.0,0.0221
2013-11-01 00:00:00,20,0,0.0221,0.0,0.0,0.0602,0.0
2013-11-01 00:00:00,20,39,0.5568,0.4586,0.0684,0.1757,20.1801
2013-11-01 00:00:00,20,46,0.0,0.0,0.0,0.0,0.0221
